X,CH1,CH2,
Second,Volt,Volt,
2.22000e-05,7.20e+00,0.00e+00,
2.22100e-05,7.20e+00,0.00e+00,
2.22200e-05,7.20e+00,0.00e+00,
2.22300e-05,7.20e+00,0.00e+00,
2.22400e-05,8.00e+00,0.00e+00,
2.22500e-05,7.20e+00,0.00e+00,
2.22600e-05,7.20e+00,4.00e-01,
2.22700e-05,7.20e+00,0.00e+00,
2.22800e-05,7.20e+00,0.00e+00,
2.22900e-05,7.20e+00,0.00e+00,
2.23000e-05,7.20e+00,4.00e-01,
2.23100e-05,7.20e+00,0.00e+00,
2.23200e-05,8.00e+00,0.00e+00,
2.23300e-05,8.00e+00,0.00e+00,
2.23400e-05,7.20e+00,4.00e-01,
2.23500e-05,7.20e+00,0.00e+00,
2.23600e-05,7.20e+00,0.00e+00,
2.23700e-05,8.00e+00,0.00e+00,
2.23800e-05,7.20e+00,0.00e+00,
2.23900e-05,7.20e+00,0.00e+00,
2.24000e-05,7.20e+00,0.00e+00,
2.24100e-05,8.00e+00,0.00e+00,
2.24200e-05,7.20e+00,0.00e+00,
2.24300e-05,7.20e+00,0.00e+00,
2.24400e-05,7.20e+00,0.00e+00,
2.24500e-05,7.20e+00,0.00e+00,
2.24600e-05,7.20e+00,4.00e-01,
2.24700e-05,7.20e+00,0.00e+00,
2.24800e-05,8.00e+00,0.00e+00,
2.24900e-05,7.20e+00,0.00e+00,
2.25000e-05,7.20e+00,0.00e+00,
2.25100e-05,8.00e+00,0.00e+00,
2.25200e-05,8.00e+00,0.00e+00,
2.25300e-05,7.20e+00,4.00e-01,
2.25400e-05,7.20e+00,0.00e+00,
2.25500e-05,7.20e+00,0.00e+00,
2.25600e-05,7.20e+00,0.00e+00,
2.25700e-05,7.20e+00,4.00e-01,
2.25800e-05,7.20e+00,0.00e+00,
2.25900e-05,7.20e+00,-4.00e-01,
2.26000e-05,7.20e+00,0.00e+00,
2.26100e-05,8.00e+00,0.00e+00,
2.26200e-05,7.20e+00,4.00e-01,
2.26300e-05,7.20e+00,0.00e+00,
2.26400e-05,8.00e+00,0.00e+00,
2.26500e-05,7.20e+00,0.00e+00,
2.26600e-05,7.20e+00,0.00e+00,
2.26700e-05,8.00e+00,0.00e+00,
2.26800e-05,7.20e+00,0.00e+00,
2.26900e-05,7.20e+00,0.00e+00,
2.27000e-05,7.20e+00,0.00e+00,
2.27100e-05,7.20e+00,0.00e+00,
2.27200e-05,7.20e+00,0.00e+00,
2.27300e-05,7.20e+00,0.00e+00,
2.27400e-05,7.20e+00,0.00e+00,
2.27500e-05,7.20e+00,0.00e+00,
2.27600e-05,7.20e+00,4.00e-01,
2.27700e-05,7.20e+00,0.00e+00,
2.27800e-05,7.20e+00,0.00e+00,
2.27900e-05,7.20e+00,0.00e+00,
2.28000e-05,7.20e+00,0.00e+00,
2.28100e-05,7.20e+00,0.00e+00,
2.28200e-05,7.20e+00,4.00e-01,
2.28300e-05,7.20e+00,0.00e+00,
2.28400e-05,7.20e+00,4.00e-01,
2.28500e-05,7.20e+00,0.00e+00,
2.28600e-05,7.20e+00,0.00e+00,
2.28700e-05,7.20e+00,4.00e-01,
2.28800e-05,7.20e+00,0.00e+00,
2.28900e-05,7.20e+00,0.00e+00,
2.29000e-05,7.20e+00,0.00e+00,
2.29100e-05,7.20e+00,0.00e+00,
2.29200e-05,7.20e+00,0.00e+00,
2.29300e-05,7.20e+00,4.00e-01,
2.29400e-05,7.20e+00,0.00e+00,
2.29500e-05,7.20e+00,0.00e+00,
2.29600e-05,7.20e+00,0.00e+00,
2.29700e-05,7.20e+00,0.00e+00,
2.29800e-05,7.20e+00,0.00e+00,
2.29900e-05,7.20e+00,0.00e+00,
2.30000e-05,7.20e+00,4.00e-01,
2.30100e-05,7.20e+00,0.00e+00,
2.30200e-05,7.20e+00,0.00e+00,
2.30300e-05,7.20e+00,0.00e+00,
2.30400e-05,7.20e+00,0.00e+00,
2.30500e-05,7.20e+00,0.00e+00,
2.30600e-05,7.20e+00,0.00e+00,
2.30700e-05,7.20e+00,0.00e+00,
2.30800e-05,7.20e+00,0.00e+00,
2.30900e-05,7.20e+00,-4.00e-01,
2.31000e-05,7.20e+00,0.00e+00,
2.31100e-05,7.20e+00,0.00e+00,
2.31200e-05,7.20e+00,0.00e+00,
2.31300e-05,7.20e+00,4.00e-01,
2.31400e-05,7.20e+00,0.00e+00,
2.31500e-05,7.20e+00,0.00e+00,
2.31600e-05,7.20e+00,0.00e+00,
2.31700e-05,7.20e+00,0.00e+00,
2.31800e-05,7.20e+00,4.00e-01,
2.31900e-05,7.20e+00,0.00e+00,
2.32000e-05,7.20e+00,0.00e+00,
2.32100e-05,7.20e+00,0.00e+00,
2.32200e-05,7.20e+00,0.00e+00,
2.32300e-05,7.20e+00,4.00e-01,
2.32400e-05,7.20e+00,0.00e+00,
2.32500e-05,7.20e+00,0.00e+00,
2.32600e-05,7.20e+00,0.00e+00,
2.32700e-05,7.20e+00,4.00e-01,
2.32800e-05,7.20e+00,0.00e+00,
2.32900e-05,7.20e+00,0.00e+00,
2.33000e-05,7.20e+00,0.00e+00,
2.33100e-05,6.40e+00,4.00e-01,
2.33200e-05,7.20e+00,0.00e+00,
2.33300e-05,7.20e+00,0.00e+00,
2.33400e-05,7.20e+00,-4.00e-01,
2.33500e-05,7.20e+00,4.00e-01,
2.33600e-05,7.20e+00,0.00e+00,
2.33700e-05,7.20e+00,0.00e+00,
2.33800e-05,7.20e+00,0.00e+00,
2.33900e-05,7.20e+00,0.00e+00,
2.34000e-05,7.20e+00,4.00e-01,
2.34100e-05,7.20e+00,0.00e+00,
2.34200e-05,7.20e+00,0.00e+00,
2.34300e-05,7.20e+00,4.00e-01,
2.34400e-05,7.20e+00,4.00e-01,
2.34500e-05,7.20e+00,0.00e+00,
2.34600e-05,7.20e+00,4.00e-01,
2.34700e-05,7.20e+00,0.00e+00,
2.34800e-05,7.20e+00,0.00e+00,
2.34900e-05,7.20e+00,0.00e+00,
2.35000e-05,7.20e+00,4.00e-01,
2.35100e-05,7.20e+00,0.00e+00,
2.35200e-05,7.20e+00,0.00e+00,
2.35300e-05,7.20e+00,0.00e+00,
2.35400e-05,7.20e+00,4.00e-01,
2.35500e-05,7.20e+00,4.00e-01,
2.35600e-05,7.20e+00,4.00e-01,
2.35700e-05,7.20e+00,0.00e+00,
2.35800e-05,7.20e+00,0.00e+00,
2.35900e-05,7.20e+00,0.00e+00,
2.36000e-05,7.20e+00,0.00e+00,
2.36100e-05,7.20e+00,4.00e-01,
2.36200e-05,7.20e+00,0.00e+00,
2.36300e-05,7.20e+00,0.00e+00,
2.36400e-05,6.40e+00,4.00e-01,
2.36500e-05,6.40e+00,4.00e-01,
2.36600e-05,7.20e+00,0.00e+00,
2.36700e-05,7.20e+00,4.00e-01,
2.36800e-05,7.20e+00,0.00e+00,
2.36900e-05,7.20e+00,4.00e-01,
2.37000e-05,6.40e+00,0.00e+00,
2.37100e-05,7.20e+00,4.00e-01,
2.37200e-05,7.20e+00,4.00e-01,
2.37300e-05,6.40e+00,-4.00e-01,
2.37400e-05,6.40e+00,0.00e+00,
2.37500e-05,7.20e+00,0.00e+00,
2.37600e-05,7.20e+00,4.00e-01,
2.37700e-05,7.20e+00,0.00e+00,
2.37800e-05,7.20e+00,0.00e+00,
2.37900e-05,6.40e+00,4.00e-01,
2.38000e-05,7.20e+00,4.00e-01,
2.38100e-05,7.20e+00,4.00e-01,
2.38200e-05,6.40e+00,0.00e+00,
2.38300e-05,6.40e+00,0.00e+00,
2.38400e-05,7.20e+00,4.00e-01,
2.38500e-05,7.20e+00,0.00e+00,
2.38600e-05,6.40e+00,4.00e-01,
2.38700e-05,6.40e+00,0.00e+00,
2.38800e-05,7.20e+00,0.00e+00,
2.38900e-05,7.20e+00,0.00e+00,
2.39000e-05,6.40e+00,4.00e-01,
2.39100e-05,7.20e+00,0.00e+00,
2.39200e-05,6.40e+00,4.00e-01,
2.39300e-05,7.20e+00,0.00e+00,
2.39400e-05,6.40e+00,0.00e+00,
2.39500e-05,6.40e+00,4.00e-01,
2.39600e-05,6.40e+00,0.00e+00,
2.39700e-05,7.20e+00,0.00e+00,
2.39800e-05,6.40e+00,4.00e-01,
2.39900e-05,7.20e+00,4.00e-01,
2.40000e-05,7.20e+00,4.00e-01,
2.40100e-05,6.40e+00,4.00e-01,
2.40200e-05,6.40e+00,4.00e-01,
2.40300e-05,7.20e+00,0.00e+00,
2.40400e-05,6.40e+00,4.00e-01,
