X,CH1,CH2,
Second,Volt,Volt,
4.77400e-05,2.00e-01,8.00e-01,
4.77500e-05,2.00e-01,8.00e-01,
4.77600e-05,2.00e-01,8.00e-01,
4.77700e-05,2.00e-01,8.00e-01,
4.77800e-05,2.00e-01,8.00e-01,
4.77900e-05,2.00e-01,8.00e-01,
4.78000e-05,0.00e+00,0.00e+00,
4.78100e-05,0.00e+00,8.00e-01,
4.78200e-05,0.00e+00,8.00e-01,
4.78300e-05,0.00e+00,8.00e-01,
4.78400e-05,0.00e+00,8.00e-01,
4.78500e-05,0.00e+00,8.00e-01,
4.78600e-05,0.00e+00,8.00e-01,
4.78700e-05,0.00e+00,8.00e-01,
4.78800e-05,0.00e+00,8.00e-01,
4.78900e-05,0.00e+00,8.00e-01,
4.79000e-05,0.00e+00,8.00e-01,
4.79100e-05,0.00e+00,8.00e-01,
4.79200e-05,0.00e+00,0.00e+00,
4.79300e-05,0.00e+00,0.00e+00,
4.79400e-05,0.00e+00,0.00e+00,
4.79500e-05,0.00e+00,0.00e+00,
4.79600e-05,0.00e+00,0.00e+00,
4.79700e-05,2.00e-01,8.00e-01,
4.79800e-05,2.00e-01,8.00e-01,
4.79900e-05,2.00e-01,8.00e-01,
4.80000e-05,2.00e-01,8.00e-01,
4.80100e-05,2.00e-01,8.00e-01,
4.80200e-05,2.00e-01,8.00e-01,
4.80300e-05,2.00e-01,8.00e-01,
4.80400e-05,0.00e+00,8.00e-01,
4.80500e-05,2.00e-01,8.00e-01,
4.80600e-05,2.00e-01,8.00e-01,
4.80700e-05,2.00e-01,8.00e-01,
4.80800e-05,2.00e-01,0.00e+00,
4.80900e-05,2.00e-01,0.00e+00,
4.81000e-05,2.00e-01,0.00e+00,
4.81100e-05,2.00e-01,0.00e+00,
4.81200e-05,0.00e+00,0.00e+00,
4.81300e-05,2.00e-01,0.00e+00,
4.81400e-05,2.00e-01,0.00e+00,
4.81500e-05,2.00e-01,0.00e+00,
4.81600e-05,2.00e-01,0.00e+00,
4.81700e-05,2.00e-01,0.00e+00,
4.81800e-05,2.00e-01,0.00e+00,
4.81900e-05,2.00e-01,0.00e+00,
4.82000e-05,2.00e-01,0.00e+00,
4.82100e-05,2.00e-01,8.00e-01,
4.82200e-05,2.00e-01,8.00e-01,
4.82300e-05,2.00e-01,8.00e-01,
4.82400e-05,0.00e+00,8.00e-01,
4.82500e-05,0.00e+00,8.00e-01,
4.82600e-05,0.00e+00,8.00e-01,
4.82700e-05,0.00e+00,8.00e-01,
4.82800e-05,0.00e+00,0.00e+00,
4.82900e-05,0.00e+00,8.00e-01,
4.83000e-05,0.00e+00,8.00e-01,
4.83100e-05,0.00e+00,8.00e-01,
4.83200e-05,0.00e+00,8.00e-01,
4.83300e-05,0.00e+00,8.00e-01,
4.83400e-05,0.00e+00,8.00e-01,
4.83500e-05,0.00e+00,8.00e-01,
4.83600e-05,0.00e+00,0.00e+00,
4.83700e-05,0.00e+00,8.00e-01,
4.83800e-05,0.00e+00,8.00e-01,
4.83900e-05,0.00e+00,8.00e-01,
4.84000e-05,0.00e+00,8.00e-01,
4.84100e-05,0.00e+00,8.00e-01,
4.84200e-05,0.00e+00,8.00e-01,
4.84300e-05,0.00e+00,8.00e-01,
4.84400e-05,0.00e+00,8.00e-01,
4.84500e-05,0.00e+00,8.00e-01,
4.84600e-05,0.00e+00,8.00e-01,
